path,ext,size,modified_utc,last_git_utc,decision,reasons
tools/phone_preview.py,.py,6163,2025-08-23 10:23:56,2025-08-23 23:28:49,archive,stale:57d>=45d
tools/phone_pwa_patch.py,.py,4825,2025-08-23 10:17:32,2025-08-23 23:28:49,archive,stale:57d>=45d
tools/phone_pwa_upgrade.py,.py,9638,2025-08-23 10:23:56,2025-08-23 23:28:49,archive,stale:57d>=45d
tools/phone_static/options.json,.json,545,2025-08-23 10:23:56,2025-08-23 23:28:49,archive,stale:57d>=45d
tools/plan_41_parallel.py,.py,1174,2025-08-22 15:43:15,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/plan_add_210_dunder.py,.py,909,2025-08-22 15:43:15,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/plan_add_413_capture.py,.py,879,2025-08-22 15:43:15,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/plan_add_413b_paths.py,.py,795,2025-08-22 15:43:15,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/plan_add_413c_runner.py,.py,798,2025-08-22 15:43:15,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/plan_add_413d_ui.py,.py,785,2025-08-22 15:43:15,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/plan_add_414_traffic.py,.py,781,2025-08-22 15:43:15,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/plan_add_415_toggle.py,.py,798,2025-08-22 15:43:15,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/plan_add_64_ci.py,.py,1115,2025-08-22 22:19:58,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/plan_add_phone_73.py,.py,1320,2025-08-23 09:23:56,2025-08-23 23:28:49,archive,stale:57d>=45d
tools/plan_fix_current_next.py,.py,2407,2025-08-22 15:55:58,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/plan_insert_40R.py,.py,1182,2025-08-22 15:43:15,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/plan_insert_audit_steps.py,.py,2434,2025-08-22 15:43:15,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/plan_insert_phase7.py,.py,1671,2025-08-23 05:51:26,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/plan_mark_51_52.py,.py,822,2025-08-22 15:55:58,2025-08-23 09:18:45,archive,pattern:(^|/)plan_mark_\d+.*\.py$;stale:58d>=45d
tools/plan_mark_52_done.py,.py,512,2025-08-22 15:56:20,2025-08-23 09:18:45,archive,pattern:(^|/)plan_mark_\d+.*\.py$;stale:58d>=45d
tools/plan_mark_52_ip.py,.py,765,2025-08-22 15:55:58,2025-08-23 09:18:45,archive,pattern:(^|/)plan_mark_\d+.*\.py$;stale:58d>=45d
tools/plan_mark_53_done.py,.py,528,2025-08-22 16:02:09,2025-08-23 09:18:45,archive,pattern:(^|/)plan_mark_\d+.*\.py$;stale:58d>=45d
tools/plan_mark_63_ip.py,.py,700,2025-08-22 21:42:03,2025-08-23 09:18:45,archive,pattern:(^|/)plan_mark_\d+.*\.py$;stale:58d>=45d
tools/plan_mark_63c.py,.py,817,2025-08-22 21:56:25,2025-08-23 09:18:45,archive,pattern:(^|/)plan_mark_\d+.*\.py$;stale:58d>=45d
tools/plan_mark_63c_done.py,.py,533,2025-08-22 22:10:22,2025-08-23 09:18:45,archive,pattern:(^|/)plan_mark_\d+.*\.py$;stale:58d>=45d
tools/plan_mark_64_ip.py,.py,588,2025-08-23 09:09:43,2025-08-23 09:18:45,archive,pattern:(^|/)plan_mark_\d+.*\.py$;stale:58d>=45d
tools/plan_sync.ps1,.ps1,1011,2025-08-25 16:28:57,2025-08-25 21:52:20,archive,script:not_managed;stale:55d>=45d
tools/preflight_no_heredoc.py,.py,777,2025-08-23 08:18:31,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/preflight_parser.py,.py,1311,2025-08-25 14:59:31,2025-08-25 21:52:20,archive,stale:55d>=45d
tools/preflight_runner.ps1,.ps1,538,2025-08-25 14:59:31,2025-08-25 21:52:20,archive,script:not_managed;stale:55d>=45d
tools/probe_models.py,.py,6641,2025-08-22 15:55:58,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/provider_docs.py,.py,16270,2025-08-22 15:55:58,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/ps/pa_diag.ps1,.ps1,2163,2025-08-26 22:26:34,2025-08-28 11:00:10,archive,script:not_managed;stale:53d>=45d
tools/ps/pa_http.ps1,.ps1,3155,2025-08-26 22:35:41,2025-08-28 11:00:10,archive,script:not_managed;stale:53d>=45d
tools/ps/pa_pack.ps1,.ps1,428,2025-08-26 22:26:34,2025-08-28 11:00:10,archive,script:not_managed;stale:53d>=45d
tools/ps/pa_svc.ps1,.ps1,2807,2025-08-26 22:26:34,2025-08-28 11:00:10,archive,script:not_managed;stale:53d>=45d
tools/ps/Run-PSScriptAnalyzer.ps1,.ps1,1313,2025-08-27 00:29:58,2025-08-28 11:00:10,archive,script:not_managed;stale:53d>=45d
tools/ps/Test-PSScripts.ps1,.ps1,1853,2025-08-27 00:26:35,2025-08-28 11:00:10,archive,script:not_managed;stale:53d>=45d
